Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,Yes,Non-Travel,1071,Human Resources,49,4,3,Female,3,1,Healthcare Representative,4,Married,5,No,0,3,3,4,31,6,3,30,20,10,22
35,Yes,Travel_Rarely,530,Hardware,32,2,2,Male,1,3,Research Scientist,1,Married,7,No,24,3,3,4,13,3,4,8,1,5,1
30,Yes,Travel_Frequently,1103,Software,27,3,4,Female,1,1,Research Scientist,2,Married,8,No,46,3,1,3,9,3,2,1,1,1,1
19,No,Non-Travel,1319,Research & Development,38,1,3,Female,4,4,Laboratory Technician,4,Divorced,0,No,15,1,3,3,20,3,1,18,18,14,12
47,No,Non-Travel,458,Software,38,5,2,Female,2,3,Manager,4,Divorced,4,Yes,20,2,2,4,28,5,2,27,6,16,17
45,Yes,Non-Travel,830,Sales,13,3,4,Female,2,3,Human Resources,4,Divorced,0,Yes,19,4,2,4,22,1,1,9,6,2,7
37,No,Travel_Frequently,783,Software,13,4,2,Female,3,3,Manager,1,Married,3,Yes,39,3,1,1,21,3,3,18,6,18,13
51,No,Travel_Frequently,239,Support,33,5,2,Female,4,3,Sales Executive,1,Married,2,Yes,9,4,1,1,9,2,3,7,3,2,2
45,Yes,Travel_Frequently,1090,Hardware,19,2,3,Female,3,1,Research Director,2,Married,1,Yes,25,3,3,4,22,3,2,7,4,6,7
42,Yes,Travel_Rarely,441,Software,42,4,3,Female,4,2,Healthcare Representative,4,Single,6,No,7,1,2,1,33,6,1,19,19,14,10
31,Yes,Non-Travel,716,Sales,8,4,2,Female,4,4,Manager,3,Married,5,Yes,5,4,2,4,16,5,3,11,10,11,7
24,No,Non-Travel,749,Support,30,1,3,Male,2,2,Laboratory Technician,3,Married,8,No,48,4,3,4,38,3,2,7,6,2,7
40,No,Travel_Frequently,486,Support,41,1,1,Female,2,3,Developer,1,Single,0,No,4,1,2,2,13,1,1,13,3,12,11
42,No,Travel_Rarely,280,Research & Development,32,2,3,Female,1,5,Sales Representative,1,Divorced,1,Yes,26,3,1,1,7,4,1,1,1,1,1
44,No,Travel_Rarely,1344,Sales,47,5,2,Female,2,2,Laboratory Technician,4,Divorced,1,No,28,2,1,4,37,4,2,20,12,13,17
20,No,Travel_Frequently,430,Hardware,21,1,2,Male,4,4,Healthcare Representative,1,Divorced,6,No,36,2,1,1,16,1,4,5,5,1,1
26,Yes,Travel_Rarely,1458,Human Resources,48,5,4,Male,3,4,Healthcare Representative,2,Married,2,Yes,29,2,1,4,34,1,2,16,14,11,12
52,Yes,Travel_Frequently,144,Human Resources,37,4,2,Male,2,5,Manager,2,Married,1,No,46,4,1,3,11,4,1,1,1,1,1
43,Yes,Travel_Rarely,157,Research & Development,17,4,1,Male,1,3,Sales Representative,1,Divorced,7,No,36,2,3,4,6,2,3,4,2,2,2
56,No,Travel_Frequently,1290,Human Resources,18,1,3,Female,3,1,Manufacturing Director,1,Married,4,Yes,0,3,4,1,37,3,4,32,22,5,5
25,Yes,Travel_Rarely,610,Research & Development,44,4,1,Male,3,4,Research Director,3,Single,3,No,45,3,2,1,9,1,3,9,4,1,8
20,Yes,Travel_Frequently,1139,Sales,30,3,1,Male,1,3,Healthcare Representative,1,Married,5,No,16,3,1,1,1,6,1,1,1,1,1
23,No,Non-Travel,684,Research & Development,46,2,3,Male,3,1,Healthcare Representative,4,Married,5,No,36,3,3,2,16,3,4,10,10,8,10
21,Yes,Travel_Rarely,1163,Sales,46,3,3,Male,2,5,Healthcare Representative,1,Married,5,Yes,0,1,4,2,30,6,2,4,1,4,4
48,No,Non-Travel,1017,Research & Development,12,4,4,Male,1,3,Research Scientist,2,Single,2,No,3,4,3,4,15,2,1,7,2,1,4
27,Yes,Non-Travel,1455,Support,50,2,1,Male,4,5,Sales Representative,4,Divorced,0,Yes,9,2,1,2,14,4,1,6,5,5,3
51,Yes,Travel_Rarely,834,Software,6,5,4,Female,3,2,Healthcare Representative,4,Divorced,8,No,17,2,4,2,10,3,2,7,2,1,7
24,Yes,Travel_Rarely,867,Software,35,4,1,Male,3,2,Sales Representative,1,Divorced,8,Yes,18,3,3,1,12,3,1,2,2,2,2
25,Yes,Non-Travel,1433,Software,43,3,3,Male,4,1,Research Scientist,3,Single,2,No,22,4,3,2,38,4,4,38,13,32,12
52,Yes,Travel_Rarely,898,Human Resources,2,5,1,Female,1,4,Human Resources,2,Divorced,6,Yes,43,1,1,3,8,2,3,2,2,1,1
36,No,Non-Travel,1185,Hardware,26,4,3,Male,1,3,Developer,2,Single,3,Yes,10,4,4,4,11,2,4,5,1,2,2
51,Yes,Travel_Rarely,504,Sales,38,1,3,Male,1,1,Laboratory Technician,2,Married,4,Yes,4,4,1,4,38,1,1,26,9,13,23
47,No,Travel_Rarely,1258,Support,40,2,2,Male,3,5,Human Resources,2,Divorced,8,No,4,1,1,1,18,3,3,15,6,4,8
45,No,Travel_Frequently,169,Software,30,3,3,Female,1,3,Sales Executive,3,Divorced,3,No,5,2,1,2,36,6,3,25,6,14,16
58,Yes,Travel_Frequently,1026,Hardware,22,1,1,Male,1,1,Healthcare Representative,3,Married,1,No,13,1,3,2,18,3,2,5,1,4,2
31,No,Travel_Rarely,316,Hardware,1,2,2,Female,2,2,Manufacturing Director,1,Married,0,No,34,1,4,1,36,3,2,21,5,9,16
57,Yes,Travel_Rarely,255,Support,19,1,1,Female,4,2,Manager,3,Divorced,5,No,16,1,3,1,18,1,1,16,14,1,13
60,Yes,Travel_Frequently,489,Hardware,46,2,2,Female,4,5,Healthcare Representative,4,Divorced,1,Yes,43,3,4,3,26,2,4,1,1,1,1
25,No,Non-Travel,347,Software,34,4,4,Male,2,3,Manager,1,Divorced,3,Yes,24,3,3,3,22,5,3,8,3,4,2
34,Yes,Travel_Frequently,484,Software,50,1,4,Female,2,4,Human Resources,1,Divorced,7,No,31,2,3,4,17,5,1,17,15,9,15
29,No,Travel_Rarely,1417,Software,37,4,2,Female,1,4,Sales Representative,3,Single,4,Yes,32,4,4,4,17,2,1,7,4,7,5
56,No,Travel_Rarely,775,Support,20,5,1,Female,1,4,Research Scientist,4,Divorced,0,Yes,16,2,3,1,16,4,2,6,6,3,6
25,No,Travel_Rarely,783,Sales,31,4,2,Male,4,3,Manufacturing Director,4,Divorced,1,No,47,1,3,2,38,6,4,11,8,2,9
53,Yes,Travel_Frequently,1285,Software,43,3,3,Male,2,2,Laboratory Technician,2,Married,8,Yes,47,3,4,2,5,4,3,5,2,3,4
24,No,Travel_Rarely,175,Human Resources,19,1,1,Male,3,2,Sales Executive,4,Married,4,No,38,2,3,4,16,2,1,14,13,7,3
45,Yes,Travel_Rarely,774,Human Resources,40,2,4,Male,2,4,Manager,4,Divorced,7,Yes,10,4,1,2,30,3,3,23,12,6,19
47,No,Travel_Rarely,1298,Support,24,3,2,Female,1,4,Sales Representative,4,Married,2,No,47,3,3,3,20,5,2,4,3,2,2
56,No,Travel_Rarely,790,Sales,31,1,1,Male,4,2,Human Resources,1,Married,4,Yes,12,2,4,4,34,4,1,6,4,5,5
45,No,Travel_Rarely,576,Human Resources,8,3,3,Male,4,3,Research Scientist,4,Single,5,No,1,2,2,2,10,1,1,4,2,4,4
42,Yes,Travel_Rarely,337,Sales,26,5,3,Female,4,5,Manufacturing Director,3,Divorced,8,Yes,17,2,1,1,18,3,2,10,6,3,4
58,Yes,Travel_Rarely,1230,Software,45,3,2,Female,2,3,Research Director,1,Single,0,No,29,4,1,4,36,3,3,7,4,7,3
45,No,Travel_Rarely,1326,Research & Development,27,1,1,Male,1,1,Healthcare Representative,1,Divorced,2,Yes,41,3,2,1,14,3,4,12,4,8,3
33,No,Travel_Frequently,987,Research & Development,25,1,4,Female,3,1,Sales Executive,1,Married,4,No,1,2,3,4,36,3,4,35,28,27,3
25,No,Travel_Frequently,450,Sales,15,4,4,Female,1,4,Manufacturing Director,4,Single,7,Yes,20,3,2,2,30,3,2,21,8,19,12
41,Yes,Travel_Rarely,882,Sales,33,2,4,Male,3,1,Human Resources,1,Single,8,Yes,22,1,3,1,2,4,2,2,1,1,2
42,No,Travel_Rarely,869,Software,2,1,3,Female,1,2,Research Director,3,Married,4,No,6,3,3,4,28,3,4,6,3,1,1
41,No,Travel_Rarely,1167,Support,35,1,4,Female,2,3,Sales Executive,4,Single,3,Yes,20,1,4,1,40,2,4,11,10,11,8
31,No,Travel_Rarely,410,Hardware,48,5,4,Female,2,2,Laboratory Technician,3,Married,1,Yes,2,3,3,2,13,1,1,10,2,7,9
50,No,Non-Travel,1062,Human Resources,43,2,3,Female,1,5,Healthcare Representative,2,Divorced,1,Yes,29,1,4,3,36,1,2,26,7,16,21
46,Yes,Travel_Frequently,204,Support,26,2,1,Male,2,2,Research Director,2,Married,5,No,16,3,4,2,20,5,3,11,1,11,1
37,Yes,Non-Travel,1281,Support,35,5,3,Female,1,4,Human Resources,4,Married,8,Yes,49,4,4,4,33,1,4,22,16,17,10
56,No,Travel_Frequently,952,Sales,31,2,3,Female,2,3,Developer,3,Single,4,Yes,5,4,2,3,11,5,1,9,4,7,6
60,No,Travel_Rarely,169,Hardware,4,2,2,Female,4,4,Manufacturing Director,2,Married,4,No,39,1,3,4,13,4,1,2,2,2,1
35,No,Travel_Frequently,626,Software,34,4,3,Female,4,1,Manager,2,Married,5,Yes,20,2,2,2,28,5,2,4,3,4,2
55,No,Travel_Frequently,1266,Sales,48,1,2,Female,3,2,Laboratory Technician,3,Married,5,Yes,10,4,3,2,11,5,2,2,2,2,1
38,No,Travel_Rarely,730,Research & Development,50,3,2,Male,4,4,Manufacturing Director,1,Single,6,No,10,3,2,3,17,5,2,6,3,1,6
39,Yes,Travel_Frequently,1444,Human Resources,2,1,3,Male,1,1,Manager,1,Single,1,No,2,3,4,3,19,2,1,6,5,2,1
33,No,Non-Travel,593,Human Resources,50,4,2,Female,2,1,Research Scientist,3,Married,4,Yes,8,1,1,1,18,2,3,4,1,3,1
22,No,Non-Travel,545,Sales,34,3,3,Female,4,4,Research Director,4,Married,6,Yes,29,4,2,1,14,3,4,3,1,1,3
40,Yes,Travel_Frequently,143,Human Resources,3,5,4,Female,3,1,Developer,3,Married,6,Yes,28,1,4,3,34,3,1,25,14,15,21
36,No,Non-Travel,949,Support,13,2,3,Male,3,1,Manager,3,Married,6,Yes,12,3,1,3,7,5,1,6,2,3,6
48,Yes,Travel_Frequently,1128,Support,20,3,2,Female,4,5,Sales Executive,4,Divorced,1,No,39,4,4,4,13,4,2,9,6,8,1
18,No,Non-Travel,896,Sales,7,3,2,Male,3,5,Research Scientist,2,Divorced,0,No,36,2,1,3,29,5,2,3,2,2,2
39,Yes,Travel_Frequently,1318,Software,40,5,2,Male,4,3,Manager,4,Married,4,Yes,0,1,3,1,31,1,2,28,2,3,6
19,Yes,Non-Travel,1116,Support,15,3,3,Female,2,4,Sales Executive,2,Single,1,No,11,2,2,3,27,1,4,19,13,5,3
29,No,Travel_Rarely,375,Sales,17,4,3,Female,3,2,Laboratory Technician,3,Married,5,No,18,2,2,1,27,6,2,5,2,3,1
34,Yes,Travel_Rarely,1265,Support,22,5,4,Female,3,2,Sales Executive,1,Married,5,No,17,4,2,1,23,4,1,5,1,3,4
45,Yes,Non-Travel,1427,Human Resources,24,1,2,Male,1,1,Laboratory Technician,1,Married,2,No,13,2,4,3,18,2,4,2,2,1,2
21,Yes,Travel_Rarely,834,Support,42,5,4,Female,3,3,Healthcare Representative,4,Single,8,No,49,1,4,2,26,3,4,13,6,11,13
41,Yes,Non-Travel,1100,Software,49,5,3,Female,2,2,Sales Representative,3,Married,2,Yes,47,3,4,1,14,1,2,9,2,9,9
39,Yes,Travel_Rarely,1330,Sales,19,2,3,Female,1,4,Laboratory Technician,3,Married,4,Yes,30,1,1,3,27,1,2,25,14,8,15
40,Yes,Non-Travel,378,Research & Development,42,5,3,Female,4,5,Laboratory Technician,4,Married,4,No,26,4,2,2,23,4,4,18,6,2,7
47,No,Non-Travel,1289,Hardware,21,4,4,Male,1,4,Laboratory Technician,1,Divorced,3,No,7,4,2,4,18,2,2,5,1,2,3
31,No,Non-Travel,343,Human Resources,34,4,4,Female,1,3,Sales Executive,4,Single,7,Yes,33,3,2,3,24,2,3,24,5,20,16
21,Yes,Travel_Rarely,1222,Software,34,1,2,Male,4,1,Research Scientist,4,Divorced,0,Yes,42,1,3,3,34,1,1,9,1,6,5
28,Yes,Travel_Frequently,437,Support,40,4,4,Female,2,1,Research Scientist,2,Single,4,No,12,4,4,4,34,1,1,12,8,6,8
29,No,Travel_Rarely,958,Human Resources,6,4,3,Female,4,4,Laboratory Technician,2,Single,2,No,35,1,4,1,20,5,4,18,15,10,3
26,Yes,Travel_Rarely,426,Support,35,3,4,Female,4,2,Manager,2,Divorced,6,Yes,7,3,1,4,11,2,2,8,1,3,1
34,No,Non-Travel,184,Human Resources,19,1,3,Male,1,3,Research Scientist,4,Single,6,No,15,3,3,4,18,2,3,9,1,8,8
49,Yes,Travel_Frequently,603,Software,18,3,4,Male,1,3,Sales Representative,2,Married,7,No,10,1,2,4,26,5,1,18,13,6,9
49,No,Non-Travel,745,Software,30,5,1,Female,4,1,Sales Representative,2,Married,5,No,1,3,1,3,8,1,1,6,3,5,5
42,Yes,Non-Travel,700,Software,14,1,2,Female,4,1,Research Scientist,1,Single,7,Yes,7,2,2,3,8,5,1,3,1,3,1
37,Yes,Non-Travel,1195,Research & Development,22,3,1,Female,3,1,Manufacturing Director,3,Married,1,Yes,14,1,2,3,14,5,2,3,1,1,2
27,Yes,Travel_Frequently,1144,Software,29,5,3,Male,2,3,Sales Executive,3,Single,7,Yes,37,3,3,1,10,5,1,5,1,1,4
20,Yes,Non-Travel,1077,Hardware,26,4,3,Male,3,5,Sales Representative,1,Single,1,Yes,1,3,3,2,28,2,4,8,2,5,7
51,Yes,Travel_Frequently,851,Research & Development,38,5,1,Male,4,4,Sales Representative,1,Married,8,No,29,2,3,2,36,2,2,20,14,10,18
54,Yes,Travel_Rarely,524,Sales,41,1,3,Female,4,3,Laboratory Technician,4,Divorced,1,Yes,28,4,3,4,39,5,2,12,10,6,6
20,Yes,Non-Travel,1467,Hardware,2,1,3,Female,4,4,Healthcare Representative,3,Married,5,Yes,19,1,3,3,38,6,4,5,1,1,5
57,Yes,Travel_Frequently,738,Sales,45,2,2,Female,1,4,Research Director,1,Divorced,6,No,37,3,3,3,11,6,2,5,1,5,3
40,No,Travel_Rarely,354,Software,8,3,1,Female,2,5,Research Scientist,4,Married,3,No,29,3,3,2,19,5,4,4,1,3,1
37,No,Travel_Rarely,1459,Human Resources,24,4,1,Male,4,3,Research Scientist,3,Single,6,Yes,45,3,1,2,25,5,1,18,12,16,12
52,No,Non-Travel,1151,Software,19,1,3,Female,4,4,Research Scientist,2,Married,0,Yes,29,4,1,1,31,5,1,18,11,13,13
49,Yes,Travel_Rarely,268,Sales,5,3,2,Female,1,5,Sales Representative,4,Divorced,6,Yes,0,3,4,1,34,6,4,27,11,26,1
44,No,Travel_Rarely,1077,Support,41,1,4,Female,4,2,Sales Representative,3,Divorced,5,No,0,2,2,3,31,6,1,20,4,6,18
44,Yes,Travel_Frequently,360,Software,47,2,1,Female,4,3,Manager,3,Single,5,Yes,49,3,3,3,10,1,4,9,6,5,2
39,No,Travel_Rarely,1326,Support,14,5,3,Male,2,3,Research Director,4,Single,7,No,40,4,1,1,4,6,2,4,4,2,1
56,Yes,Non-Travel,1496,Software,38,1,4,Male,2,5,Laboratory Technician,3,Married,1,Yes,21,1,3,4,22,6,4,2,2,2,1
50,Yes,Non-Travel,427,Human Resources,25,5,4,Male,4,4,Research Director,3,Divorced,6,Yes,2,3,4,3,36,4,4,17,7,14,6
37,No,Travel_Rarely,1086,Hardware,42,4,2,Male,2,3,Human Resources,2,Single,2,Yes,26,1,1,4,2,1,2,2,2,1,1
26,No,Travel_Rarely,797,Human Resources,20,2,1,Female,4,1,Manufacturing Director,4,Single,0,Yes,38,3,2,2,35,1,2,9,8,9,6
27,Yes,Travel_Frequently,432,Support,5,5,4,Male,2,2,Research Director,3,Single,4,No,32,4,4,4,34,2,2,5,5,4,4
53,No,Travel_Frequently,266,Research & Development,26,3,1,Female,3,3,Sales Representative,2,Married,6,No,9,4,1,4,29,2,2,14,6,13,13
39,Yes,Travel_Frequently,351,Software,48,2,4,Female,2,2,Developer,3,Divorced,4,Yes,27,1,3,2,34,2,4,18,7,16,18
49,No,Travel_Frequently,925,Software,44,5,1,Male,4,3,Manager,2,Divorced,4,No,4,1,2,2,32,6,3,14,11,10,12
51,No,Travel_Rarely,114,Research & Development,27,3,3,Male,2,1,Developer,2,Divorced,4,No,43,2,3,2,30,1,2,30,11,2,19
30,Yes,Non-Travel,750,Support,12,1,3,Male,4,3,Sales Representative,1,Married,5,No,18,2,2,4,40,6,2,23,14,8,23
43,Yes,Travel_Rarely,1446,Hardware,16,5,1,Female,3,2,Human Resources,4,Single,0,Yes,4,4,1,4,11,4,4,9,4,9,8
56,No,Travel_Frequently,1054,Hardware,44,2,3,Female,1,4,Manufacturing Director,3,Single,1,No,47,3,3,1,38,6,1,6,2,6,5
50,No,Travel_Frequently,1392,Research & Development,18,4,2,Female,2,4,Research Director,2,Divorced,8,Yes,23,4,4,3,10,1,2,1,1,1,1
53,No,Travel_Frequently,141,Sales,44,2,1,Male,1,1,Research Director,4,Married,1,No,20,1,1,1,13,6,4,5,1,4,3
57,Yes,Travel_Rarely,301,Software,31,3,4,Male,4,4,Developer,1,Single,4,No,49,2,1,2,17,5,4,9,6,3,9
42,No,Travel_Frequently,1291,Sales,23,2,2,Female,2,1,Sales Executive,2,Single,8,Yes,12,1,3,1,19,2,4,15,8,10,1
48,No,Travel_Rarely,1066,Software,47,1,1,Male,1,3,Research Director,1,Single,8,No,5,2,4,4,5,3,3,4,1,4,3
28,Yes,Travel_Rarely,560,Sales,23,5,1,Male,3,3,Sales Executive,2,Divorced,7,No,32,2,2,1,32,3,1,24,8,19,24
34,Yes,Travel_Rarely,1306,Human Resources,48,2,4,Female,2,1,Sales Representative,3,Single,8,No,2,1,2,3,32,1,4,18,16,10,4
34,No,Travel_Frequently,1431,Human Resources,33,2,1,Female,4,3,Sales Executive,3,Married,0,Yes,44,2,1,1,30,3,2,16,11,7,4
24,No,Non-Travel,187,Support,44,3,4,Male,4,3,Sales Executive,3,Divorced,6,Yes,43,3,3,4,33,6,1,19,11,6,3
48,No,Travel_Frequently,1485,Research & Development,49,1,1,Male,1,4,Manager,4,Married,1,No,47,2,2,3,17,1,3,13,4,5,8
31,Yes,Travel_Rarely,1265,Sales,35,2,4,Female,2,1,Sales Executive,4,Single,0,Yes,18,4,2,2,11,1,2,8,1,8,6
37,Yes,Travel_Rarely,236,Human Resources,46,2,4,Female,2,1,Healthcare Representative,3,Married,0,Yes,11,1,3,1,25,6,4,13,10,4,1
25,No,Non-Travel,1491,Software,32,2,2,Female,4,4,Developer,4,Single,4,No,42,3,3,4,33,5,4,26,9,25,12
24,Yes,Non-Travel,606,Sales,49,4,4,Male,2,3,Human Resources,1,Single,8,Yes,38,1,2,4,13,2,4,9,1,5,1
25,Yes,Travel_Rarely,326,Research & Development,32,1,3,Male,2,2,Sales Representative,3,Married,5,No,49,3,2,3,20,4,2,9,3,6,4
38,Yes,Travel_Rarely,667,Research & Development,32,4,3,Male,2,4,Sales Representative,3,Single,3,No,49,3,3,3,39,3,1,23,21,19,8
40,No,Non-Travel,186,Sales,15,5,2,Male,4,2,Developer,4,Married,4,Yes,37,1,2,4,1,4,2,1,1,1,1
57,No,Non-Travel,635,Support,13,5,2,Male,2,2,Sales Representative,2,Single,0,Yes,32,1,1,1,26,2,1,18,7,15,2
50,Yes,Travel_Frequently,639,Support,24,5,4,Male,3,2,Laboratory Technician,2,Divorced,4,No,32,4,4,3,26,1,4,6,2,2,1
59,Yes,Non-Travel,1457,Research & Development,2,1,1,Male,2,1,Research Scientist,3,Divorced,0,Yes,13,3,2,2,18,6,2,12,11,5,3
48,Yes,Travel_Rarely,303,Research & Development,31,4,1,Male,3,3,Manager,4,Divorced,8,Yes,0,1,1,2,21,5,1,13,11,7,5
46,Yes,Non-Travel,1048,Support,41,1,4,Female,2,4,Research Scientist,1,Single,6,Yes,42,4,3,3,7,2,2,1,1,1,1
42,No,Travel_Rarely,1170,Support,22,2,2,Male,3,4,Laboratory Technician,4,Married,4,Yes,2,2,2,2,1,3,3,1,1,1,1
55,Yes,Travel_Rarely,239,Hardware,15,5,3,Male,4,4,Manager,3,Married,2,No,41,3,1,1,24,1,4,4,1,2,4
44,No,Travel_Frequently,576,Sales,18,1,2,Male,1,3,Research Director,3,Single,0,No,46,1,1,4,22,5,3,18,5,3,13
44,Yes,Travel_Rarely,1394,Software,8,5,1,Male,4,5,Human Resources,3,Single,1,Yes,14,3,3,4,35,3,1,16,16,10,5
34,No,Travel_Rarely,1270,Human Resources,12,2,4,Male,2,4,Manager,1,Married,1,Yes,3,4,4,2,18,3,1,11,7,1,2
32,Yes,Non-Travel,1232,Support,45,2,2,Male,1,2,Manufacturing Director,3,Single,0,No,30,1,3,4,8,5,3,8,3,7,3
27,No,Travel_Rarely,289,Human Resources,40,5,2,Male,2,3,Research Scientist,3,Divorced,2,No,10,1,1,4,31,1,2,16,1,6,10
56,Yes,Non-Travel,750,Human Resources,35,5,2,Male,2,4,Manager,2,Married,3,No,38,2,2,4,36,2,4,30,19,21,16
21,Yes,Travel_Frequently,391,Human Resources,11,1,1,Male,4,3,Sales Executive,4,Divorced,3,No,22,2,1,2,15,3,3,6,2,4,3
48,No,Travel_Rarely,858,Research & Development,11,3,4,Female,1,3,Human Resources,2,Divorced,1,Yes,29,4,1,3,26,2,4,4,4,3,2
37,No,Non-Travel,1265,Hardware,26,2,3,Male,2,1,Sales Representative,4,Single,8,Yes,34,3,4,2,30,4,1,21,2,18,14
29,Yes,Non-Travel,320,Human Resources,28,1,1,Female,1,2,Laboratory Technician,4,Divorced,2,No,12,2,4,2,29,6,3,29,24,4,6
55,Yes,Non-Travel,950,Sales,39,3,1,Female,2,2,Sales Representative,4,Divorced,4,No,33,1,1,2,27,5,3,19,8,17,5
57,Yes,Travel_Frequently,328,Human Resources,22,3,3,Male,4,4,Research Director,4,Single,2,No,40,4,3,4,35,2,2,17,3,6,3
44,Yes,Travel_Frequently,405,Research & Development,24,4,4,Male,3,3,Laboratory Technician,4,Divorced,7,No,15,1,1,3,25,2,1,1,1,1,1
60,Yes,Travel_Rarely,791,Sales,26,3,4,Male,1,2,Laboratory Technician,2,Divorced,4,Yes,34,4,4,4,23,4,2,1,1,1,1
39,Yes,Travel_Rarely,344,Sales,5,3,4,Female,3,2,Manufacturing Director,2,Single,2,No,49,4,4,2,15,2,4,10,3,7,10
60,No,Travel_Rarely,368,Research & Development,28,3,2,Female,1,4,Manager,2,Married,4,No,30,2,1,3,15,1,2,13,1,3,8
48,Yes,Travel_Frequently,784,Research & Development,15,2,2,Male,1,1,Manager,1,Single,4,Yes,15,4,3,2,8,1,4,6,2,6,4
20,Yes,Travel_Frequently,1434,Support,14,2,4,Female,4,1,Research Scientist,4,Married,7,No,43,3,3,4,5,5,4,3,1,2,1
18,Yes,Non-Travel,119,Human Resources,48,3,3,Male,2,5,Developer,3,Married,6,No,44,1,4,2,35,5,4,28,4,1,7
50,No,Travel_Frequently,495,Human Resources,44,2,3,Female,4,3,Sales Representative,2,Single,6,No,16,1,2,3,21,3,3,2,2,1,1
28,Yes,Non-Travel,682,Sales,42,1,3,Female,1,1,Healthcare Representative,3,Single,1,No,39,2,3,3,3,4,1,2,1,2,1
43,Yes,Travel_Frequently,957,Hardware,46,5,4,Male,3,4,Sales Representative,2,Divorced,1,Yes,28,4,2,1,14,2,4,1,1,1,1
38,Yes,Travel_Rarely,1481,Human Resources,50,1,4,Male,2,5,Developer,1,Divorced,4,No,28,1,3,2,7,2,2,2,2,1,2
21,Yes,Travel_Rarely,1448,Hardware,25,5,2,Female,1,5,Laboratory Technician,3,Single,1,No,44,2,4,2,2,5,4,2,1,1,2
29,Yes,Travel_Frequently,1186,Sales,47,1,4,Female,4,5,Manager,1,Single,3,No,22,1,3,3,8,5,3,8,1,7,6
38,No,Travel_Rarely,110,Human Resources,32,1,2,Female,2,2,Developer,2,Divorced,8,No,1,3,1,1,30,2,3,17,13,9,12
26,No,Non-Travel,1164,Software,5,4,1,Female,1,3,Sales Representative,2,Single,0,Yes,46,2,2,3,26,3,4,11,10,8,11
60,No,Travel_Rarely,965,Sales,15,2,3,Male,4,1,Human Resources,3,Married,7,Yes,1,1,4,3,36,5,3,33,11,19,8
36,Yes,Travel_Frequently,120,Software,24,3,3,Female,1,5,Manager,1,Divorced,2,No,21,3,3,3,23,4,4,10,9,7,9
33,No,Travel_Frequently,441,Research & Development,37,3,4,Male,2,5,Human Resources,4,Single,4,No,29,2,3,3,33,1,3,5,3,3,5
59,No,Travel_Rarely,247,Hardware,3,1,1,Female,1,2,Sales Executive,3,Married,1,No,30,4,2,2,30,5,1,1,1,1,1
30,No,Travel_Frequently,1111,Support,44,4,1,Male,4,1,Research Director,1,Married,4,Yes,25,4,1,1,10,5,2,10,5,6,1
48,Yes,Travel_Rarely,345,Research & Development,36,2,2,Male,3,4,Manufacturing Director,4,Divorced,6,Yes,37,4,4,1,9,4,2,1,1,1,1
50,No,Travel_Frequently,590,Software,44,3,4,Male,2,1,Manufacturing Director,3,Single,3,No,30,4,3,4,23,1,4,8,5,1,2
53,Yes,Non-Travel,718,Software,28,4,2,Female,4,1,Manager,3,Divorced,6,No,18,1,4,3,9,2,1,5,5,3,5
34,No,Travel_Rarely,557,Human Resources,5,3,3,Female,1,1,Human Resources,4,Divorced,6,No,34,2,3,2,34,1,2,32,8,13,15
57,No,Travel_Rarely,193,Human Resources,42,2,3,Female,3,1,Sales Representative,3,Divorced,2,Yes,32,1,4,3,20,2,4,20,13,15,3
38,No,Non-Travel,1351,Sales,25,1,4,Female,2,1,Manufacturing Director,1,Single,4,No,34,4,3,1,25,3,3,2,1,1,2
51,No,Travel_Rarely,988,Support,12,2,3,Female,2,2,Healthcare Representative,1,Divorced,1,No,33,4,1,3,17,4,1,1,1,1,1
29,Yes,Travel_Frequently,1206,Support,28,4,4,Male,2,5,Laboratory Technician,4,Single,6,No,13,2,4,4,21,2,4,7,6,4,3
54,No,Travel_Frequently,1060,Research & Development,33,1,1,Male,2,4,Research Director,3,Married,6,No,17,2,1,4,18,5,2,10,10,9,5
34,No,Non-Travel,1270,Human Resources,33,4,3,Female,4,2,Research Scientist,4,Married,5,No,1,4,3,1,11,4,3,4,1,3,2
59,No,Travel_Rarely,160,Support,10,1,1,Male,4,4,Research Director,1,Divorced,8,Yes,28,2,2,1,36,1,4,18,3,7,12
56,No,Travel_Frequently,1173,Support,26,4,3,Male,4,5,Research Director,2,Married,5,Yes,21,3,1,1,37,3,2,15,15,3,8
36,No,Non-Travel,1346,Hardware,40,2,1,Male,1,4,Research Director,4,Single,1,Yes,4,1,1,2,28,4,2,19,10,12,14
25,Yes,Travel_Frequently,999,Research & Development,47,1,3,Female,2,1,Developer,3,Single,1,Yes,5,2,1,2,37,3,1,19,15,18,17
18,Yes,Travel_Frequently,1244,Support,35,3,1,Male,1,3,Manager,1,Single,1,No,42,4,4,2,12,4,2,4,3,4,1
